Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
910,Exit short,2026-01-21 22:15,Long,25584.75,1,511330,-365,-0.07,30,0.01,-570,-0.11,-33330,-3.33
910,Entry short,2026-01-21 21:30,Short,25566.5,1,511330,-365,-0.07,30,0.01,-570,-0.11,-33330,-3.33
911,Exit long,2026-01-21 23:30,Short,25569,1,511695,-315,-0.06,145,0.03,-375,-0.07,-33645,-3.36
911,Entry long,2026-01-21 22:15,Long,25584.75,1,511695,-315,-0.06,145,0.03,-375,-0.07,-33645,-3.36
912,Exit short,2026-01-22 03:00,Long,25619.25,1,511380,-1005,-0.20,1705,0.33,-1155,-0.23,-34650,-3.46
912,Entry short,2026-01-21 23:30,Short,25569,1,511380,-1005,-0.20,1705,0.33,-1155,-0.23,-34650,-3.46
913,Exit long,2026-01-22 05:45,Short,25688.25,1,512385,1380,0.27,1930,0.38,-65,-0.01,-33270,-3.33
913,Entry long,2026-01-22 03:00,Long,25619.25,1,512385,1380,0.27,1930,0.38,-65,-0.01,-33270,-3.33
914,Exit short,2026-01-22 08:00,Long,25691.25,1,513765,-60,-0.01,585,0.11,-515,-0.10,-33330,-3.33
914,Entry short,2026-01-22 05:45,Short,25688.25,1,513765,-60,-0.01,585,0.11,-515,-0.10,-33330,-3.33
915,Exit long,2026-01-22 10:15,Short,25592.25,1,513825,-1980,-0.39,970,0.19,-3090,-0.60,-35310,-3.53
915,Entry long,2026-01-22 08:00,Long,25691.25,1,513825,-1980,-0.39,970,0.19,-3090,-0.60,-35310,-3.53
916,Exit short,2026-01-22 11:15,Long,25672.5,1,511845,-1605,-0.31,405,0.08,-1860,-0.36,-36915,-3.69
916,Entry short,2026-01-22 10:15,Short,25592.25,1,511845,-1605,-0.31,405,0.08,-1860,-0.36,-36915,-3.69
917,Exit long,2026-01-22 15:15,Short,25609,1,513450,-1270,-0.25,1020,0.20,-1295,-0.25,-38185,-3.82
917,Entry long,2026-01-22 11:15,Long,25672.5,1,513450,-1270,-0.25,1020,0.20,-1295,-0.25,-38185,-3.82
918,Exit short,2026-01-22 16:00,Long,25644.5,1,512180,-710,-0.14,485,0.09,-1350,-0.26,-38895,-3.89
918,Entry short,2026-01-22 15:15,Short,25609,1,512180,-710,-0.14,485,0.09,-1350,-0.26,-38895,-3.89
919,Exit long,2026-01-23 03:15,Short,25628.5,1,512890,-320,-0.06,1740,0.34,-1380,-0.27,-39215,-3.92
919,Entry long,2026-01-22 16:00,Long,25644.5,1,512890,-320,-0.06,1740,0.34,-1380,-0.27,-39215,-3.92
920,Exit short,2026-01-23 06:30,Long,25633,1,512570,-90,-0.02,1765,0.34,-590,-0.12,-39305,-3.93
920,Entry short,2026-01-23 03:15,Short,25628.5,1,512570,-90,-0.02,1765,0.34,-590,-0.12,-39305,-3.93
921,Exit long,2026-01-23 08:30,Short,25588.25,1,512660,-895,-0.17,50,0.01,-1235,-0.24,-40200,-4.02
921,Entry long,2026-01-23 06:30,Long,25633,1,512660,-895,-0.17,50,0.01,-1235,-0.24,-40200,-4.02
922,Exit short,2026-01-23 10:00,Long,25688.25,1,511765,-2000,-0.39,630,0.12,-2625,-0.51,-42200,-4.22
