Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
9590,Exit long,2006-03-17 13:45,Short,1703,1,33990,70,0.21,220,0.65,-10,-0.03,-1420,-2.84
9590,Entry long,2006-03-17 11:15,Long,1699.5,1,33990,70,0.21,220,0.65,-10,-0.03,-1420,-2.84
9591,Exit short,2006-03-17 14:30,Long,1705.5,1,34060,-50,-0.15,10,0.03,-60,-0.18,-1470,-2.94
9591,Entry short,2006-03-17 13:45,Short,1703,1,34060,-50,-0.15,10,0.03,-60,-0.18,-1470,-2.94
9592,Exit long,2006-03-17 15:00,Short,1703,1,34110,-50,-0.15,0,0.00,-100,-0.29,-1520,-3.04
9592,Entry long,2006-03-17 14:30,Long,1705.5,1,34110,-50,-0.15,0,0.00,-100,-0.29,-1520,-3.04
9593,Exit short,2006-03-17 16:30,Long,1704.5,1,34060,-30,-0.09,80,0.23,-50,-0.15,-1550,-3.10
9593,Entry short,2006-03-17 15:00,Short,1703,1,34060,-30,-0.09,80,0.23,-50,-0.15,-1550,-3.10
9594,Exit long,2006-03-19 21:30,Short,1706.5,1,34090,40,0.12,80,0.23,-30,-0.09,-1510,-3.02
9594,Entry long,2006-03-17 16:30,Long,1704.5,1,34090,40,0.12,80,0.23,-30,-0.09,-1510,-3.02
9595,Exit short,2006-03-19 22:15,Long,1707.5,1,34130,-20,-0.06,10,0.03,-30,-0.09,-1530,-3.06
9595,Entry short,2006-03-19 21:30,Short,1706.5,1,34130,-20,-0.06,10,0.03,-30,-0.09,-1530,-3.06
9596,Exit long,2006-03-20 00:00,Short,1707,1,34150,-10,-0.03,10,0.03,-20,-0.06,-1540,-3.08
9596,Entry long,2006-03-19 22:15,Long,1707.5,1,34150,-10,-0.03,10,0.03,-20,-0.06,-1540,-3.08
9597,Exit short,2006-03-20 02:45,Long,1707.5,1,34140,-10,-0.03,20,0.06,-20,-0.06,-1550,-3.10
9597,Entry short,2006-03-20 00:00,Short,1707,1,34140,-10,-0.03,20,0.06,-20,-0.06,-1550,-3.10
9598,Exit long,2006-03-20 06:15,Short,1709.5,1,34150,40,0.12,80,0.23,0,0.00,-1510,-3.02
9598,Entry long,2006-03-20 02:45,Long,1707.5,1,34150,40,0.12,80,0.23,0,0.00,-1510,-3.02
9599,Exit short,2006-03-20 09:00,Long,1710.5,1,34190,-20,-0.06,40,0.12,-30,-0.09,-1530,-3.06
9599,Entry short,2006-03-20 06:15,Short,1709.5,1,34190,-20,-0.06,40,0.12,-30,-0.09,-1530,-3.06
9600,Exit long,2006-03-20 10:00,Short,1706.5,1,34210,-80,-0.23,60,0.18,-80,-0.23,-1610,-3.22
9600,Entry long,2006-03-20 09:00,Long,1710.5,1,34210,-80,-0.23,60,0.18,-80,-0.23,-1610,-3.22
9601,Exit short,2006-03-20 13:15,Long,1711.5,1,34130,-100,-0.29,90,0.26,-130,-0.38,-1710,-3.42
9601,Entry short,2006-03-20 10:00,Short,1706.5,1,34130,-100,-0.29,90,0.26,-130,-0.38,-1710,-3.42
9602,Exit long,2006-03-20 13:45,Short,1707,1,34230,-90,-0.26,0,0.00,-130,-0.38,-1800,-3.60
9602,Entry long,2006-03-20 13:15,Long,1711.5,1,34230,-90,-0.26,0,0.00,-130,-0.38,-1800,-3.60
9603,Exit short,2006-03-20 18:45,Long,1706,1,34140,20,0.06,60,0.18,-80,-0.23,-1780,-3.56
9603,Entry short,2006-03-20 13:45,Short,1707,1,34140,20,0.06,60,0.18,-80,-0.23,-1780,-3.56
9604,Exit long,2006-03-20 23:45,Short,1705,1,34120,-20,-0.06,0,0.00,-40,-0.12,-1800,-3.60
9604,Entry long,2006-03-20 18:45,Long,1706,1,34120,-20,-0.06,0,0.00,-40,-0.12,-1800,-3.60
9605,Exit short,2006-03-21 02:00,Long,1705,1,34100,0,0.00,20,0.06,-20,-0.06,-1800,-3.60
9605,Entry short,2006-03-20 23:45,Short,1705,1,34100,0,0.00,20,0.06,-20,-0.06,-1800,-3.60
9606,Exit long,2006-03-21 03:45,Short,1703,1,34100,-40,-0.12,10,0.03,-50,-0.15,-1840,-3.68
9606,Entry long,2006-03-21 02:00,Long,1705,1,34100,-40,-0.12,10,0.03,-50,-0.15,-1840,-3.68
9607,Exit short,2006-03-21 05:15,Long,1703.5,1,34060,-10,-0.03,50,0.15,-20,-0.06,-1850,-3.70
9607,Entry short,2006-03-21 03:45,Short,1703,1,34060,-10,-0.03,50,0.15,-20,-0.06,-1850,-3.70
9608,Exit long,2006-03-21 06:00,Short,1702,1,34070,-30,-0.09,10,0.03,-30,-0.09,-1880,-3.76
9608,Entry long,2006-03-21 05:15,Long,1703.5,1,34070,-30,-0.09,10,0.03,-30,-0.09,-1880,-3.76
9609,Exit short,2006-03-21 07:15,Long,1703,1,34040,-20,-0.06,0,0.00,-30,-0.09,-1900,-3.80
9609,Entry short,2006-03-21 06:00,Short,1702,1,34040,-20,-0.06,0,0.00,-30,-0.09,-1900,-3.80
9610,Exit long,2006-03-21 07:45,Short,1701.5,1,34060,-30,-0.09,0,0.00,-40,-0.12,-1930,-3.86
9610,Entry long,2006-03-21 07:15,Long,1703,1,34060,-30,-0.09,0,0.00,-40,-0.12,-1930,-3.86
9611,Exit short,2006-03-21 08:30,Long,1703,1,34030,-30,-0.09,20,0.06,-40,-0.12,-1960,-3.92
9611,Entry short,2006-03-21 07:45,Short,1701.5,1,34030,-30,-0.09,20,0.06,-40,-0.12,-1960,-3.92
9612,Exit long,2006-03-21 09:30,Long X,1697.25,1,34060,-115,-0.34,110,0.32,-115,-0.34,-2075,-4.15
9612,Entry long,2006-03-21 08:30,Long,1703,1,34060,-115,-0.34,110,0.32,-115,-0.34,-2075,-4.15
9613,Exit short,2006-03-21 11:15,Short X,1712.5,1,34010,-240,-0.71,10,0.03,-240,-0.71,-2315,-4.63
9613,Entry short,2006-03-21 10:15,Short,1700.5,1,34010,-240,-0.71,10,0.03,-240,-0.71,-2315,-4.63
9614,Exit long,2006-03-21 13:30,Short,1718,1,34230,130,0.38,320,0.93,0,0.00,-2185,-4.37
9614,Entry long,2006-03-21 11:15,Long,1711.5,1,34230,130,0.38,320,0.93,0,0.00,-2185,-4.37
9615,Exit short,2006-03-21 21:15,Long,1678,1,34360,800,2.33,890,2.59,0,0.00,-1385,-2.77
9615,Entry short,2006-03-21 13:30,Short,1718,1,34360,800,2.33,890,2.59,0,0.00,-1385,-2.77
9616,Exit long,2006-03-21 23:15,Short,1675,1,33560,-60,-0.18,20,0.06,-70,-0.21,-1445,-2.89
9616,Entry long,2006-03-21 21:15,Long,1678,1,33560,-60,-0.18,20,0.06,-70,-0.21,-1445,-2.89
9617,Exit short,2006-03-22 02:45,Long,1677.5,1,33500,-50,-0.15,70,0.21,-70,-0.21,-1495,-2.99
9617,Entry short,2006-03-21 23:15,Short,1675,1,33500,-50,-0.15,70,0.21,-70,-0.21,-1495,-2.99
9618,Exit long,2006-03-22 21:15,Short,1693,1,33550,310,0.92,380,1.13,-30,-0.09,-1185,-2.37
9618,Entry long,2006-03-22 02:45,Long,1677.5,1,33550,310,0.92,380,1.13,-30,-0.09,-1185,-2.37
9619,Exit short,2006-03-23 06:45,Long,1688,1,33860,100,0.30,150,0.44,-20,-0.06,-1085,-2.17
9619,Entry short,2006-03-22 21:15,Short,1693,1,33860,100,0.30,150,0.44,-20,-0.06,-1085,-2.17
9620,Exit long,2006-03-23 10:30,Long X,1678.25,1,33760,-195,-0.58,120,0.36,-195,-0.58,-1280,-2.56
9620,Entry long,2006-03-23 06:45,Long,1688,1,33760,-195,-0.58,120,0.36,-195,-0.58,-1280,-2.56
9621,Exit short,2006-03-23 11:15,Long,1686,1,33630,-90,-0.27,70,0.21,-100,-0.30,-1370,-2.74
9621,Entry short,2006-03-23 10:45,Short,1681.5,1,33630,-90,-0.27,70,0.21,-100,-0.30,-1370,-2.74
9622,Exit long,2006-03-23 14:45,Short,1682,1,33720,-80,-0.24,90,0.27,-130,-0.39,-1450,-2.90
9622,Entry long,2006-03-23 11:15,Long,1686,1,33720,-80,-0.24,90,0.27,-130,-0.39,-1450,-2.90
9623,Exit short,2006-03-23 15:15,Long,1688.5,1,33640,-130,-0.39,30,0.09,-130,-0.39,-1580,-3.16
9623,Entry short,2006-03-23 14:45,Short,1682,1,33640,-130,-0.39,30,0.09,-130,-0.39,-1580,-3.16
9624,Exit long,2006-03-23 20:30,Short,1694.5,1,33770,120,0.36,160,0.47,-50,-0.15,-1460,-2.92
9624,Entry long,2006-03-23 15:15,Long,1688.5,1,33770,120,0.36,160,0.47,-50,-0.15,-1460,-2.92
9625,Exit short,2006-03-23 23:45,Long,1694.5,1,33890,0,0.00,10,0.03,0,0.00,-1460,-2.92
9625,Entry short,2006-03-23 20:30,Short,1694.5,1,33890,0,0.00,10,0.03,0,0.00,-1460,-2.92
9626,Exit long,2006-03-24 02:30,Short,1692,1,33890,-50,-0.15,10,0.03,-50,-0.15,-1510,-3.02
9626,Entry long,2006-03-23 23:45,Long,1694.5,1,33890,-50,-0.15,10,0.03,-50,-0.15,-1510,-3.02
9627,Exit short,2006-03-24 04:00,Long,1693,1,33840,-20,-0.06,0,0.00,-30,-0.09,-1530,-3.06
9627,Entry short,2006-03-24 02:30,Short,1692,1,33840,-20,-0.06,0,0.00,-30,-0.09,-1530,-3.06
9628,Exit long,2006-03-24 09:45,Short,1692.5,1,33860,-10,-0.03,80,0.24,-90,-0.27,-1540,-3.08
9628,Entry long,2006-03-24 04:00,Long,1693,1,33860,-10,-0.03,80,0.24,-90,-0.27,-1540,-3.08
